mailcap 2.1.53-1
make 4.4-1
man-db 2.11.2-1
mariadb 10.9.5-1
mariadb-clients 10.9.5-1
mariadb-libs 10.9.5-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 22.3.4-1
mesa-utils 8.5.0-2
mesa-vdpau 22.3.4-1
milou 5.26.5-1
miniupnpc 2.2.4-1
minizip 1:1.2.13-2
mjpegtools 2.2.1-1
mkinitcpio 34-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20221107-2
modemmanager 1.20.4-1
modemmanager-qt 5.102.0-1
mongodb-bin 6.0.4-1
mongodb-compass 1.35.0-1
mongosh-bin 1.6.2-1
mpfr 4.2.0-3
mpg123 1.31.2-2
mpv 1:0.35.1-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.42-1
mujs 1.3.2-1
nano 7.2-1
ncurses 6.4-1
ndctl 75-1
neofetch 7.1.0-2
neon 0.32.5-1
neovim 0.8.3-1
nettle 3.8.1-1
networkmanager 1.40.12-1
networkmanager-qt 5.102.0-1
ninja 1.11.1-2
nnn 4.7-1
node-gyp 9.3.1-1
nodejs 19.6.0-1
nodejs-nopt 7.0.0-1
notion-app-enhanced 2.0.18-1
noto-fonts 20230201-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.87-1
nsxiv 30-2
ntfs-3g 2022.10.3-1
nvidia 525.89.02-1
nvidia-prime 1.0-4
nvidia-settings 525.89.02-1
nvidia-utils 525.89.02-1
nvim-packer-git r566.1d0cf98-1
nvtop 3.0.1-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
openal 1.23.0-1
opencl-nvidia 525.89.02-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-2
openmpi 4.1.4-4
openpmix 4.2.3-1
openssh 9.2p1-1
openssl 3.0.8-1
openssl-1.1 1.1.1.t-1
opus 1.3.1-3
orc 0.4.33-1
os-prober 1.81-1
oxygen-sounds 5.26.5-1
p11-kit 0.24.1-1
p7zip 1:17.04-4
pacman 6.0.2-5
pacman-contrib 1.8.2-1
pacman-mirrorlist 20221204-1
pahole 1:1.24+r29+g02d67c5-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.12-1
parted 3.5-1
partitionmanager 22.12.2-1
patch 2.7.6-8
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-2
perl 5.36.0-3
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
php 8.2.2-1
php-apache 8.2.2-1
phpmyadmin 5.2.0-1
pinentry 1.2.1-1
pipewire 1:0.3.65-6
pipewire-alsa 1:0.3.65-6
pipewire-audio 1:0.3.65-6
pipewire-jack 1:0.3.65-6
pipewire-pulse 1:0.3.65-6
pixman 0.42.2-1
pkgconf 1.8.0-1
plasma-desktop 5.26.5-1
plasma-framework 5.102.0-1
plasma-integration 5.26.5-1
plasma-nm 5.26.5-1
plasma-pa 5.26.5-1
plasma-workspace 5.26.5-3
plasma5-applets-virtual-desktop-bar-git r524.3c42104-1
plocate 1.1.18-1
polkit 122-1
polkit-kde-agent 5.26.5-1
polkit-qt5 0.114.0-1
poppler 23.02.0-1
poppler-data 0.4.12-1
poppler-glib 23.02.0-1
poppler-qt5 23.02.0-1
popt 1.19-1
portaudio 1:19.7.0-1
postman-bin 10.9.3-1
power-profiles-daemon 0.12-1
powerdevil 5.26.5-1
ppp 2.4.9-3
prison 5.102.0-1
procps-ng 3.3.17-1
protobuf 21.12-1
psmisc 23.6-1
purpose 5.102.0-1
python 3.10.9-1
python-attrs 22.2.0-1
python-certifi 2022.12.07-1
python-cffi 1.15.1-1
python-cryptography 39.0.1-1
python-gobject 3.42.2-1
python-packaging 23.0-1
python-pip 22.3.1-1
python-ply 3.11-10
python-pycparser 2.21-3
python-pyqt5 5.15.9-1
python-pyqt5-3d 5.15.6-1
python-pyqt5-chart 5.15.6-1
python-pyqt5-datavisualization 5.15.5-3
python-pyqt5-networkauth 5.15.5-3
python-pyqt5-purchasing 5.15.5-3
python-pyqt5-sip 12.11.1-1
python-pyqt5-webengine 5.15.6-1
python-wheel 0.38.4-1
qca-qt5 2.3.5-2
qqc2-desktop-style 5.102.0-1
qrencode 4.1.1-2
qt-gstreamer 1.2.0-4
qt5-3d 5.15.8-1
qt5-base 5.15.8+kde+r181-1
qt5-charts 5.15.8-1
qt5-datavis3d 5.15.8-1
qt5-declarative 5.15.8+kde+r24-2
qt5-graphicaleffects 5.15.8-1
qt5-imageformats 5.15.8+kde+r9-1
qt5-location 5.15.8+kde+r3-1
qt5-multimedia 5.15.8+kde+r2-1
qt5-networkauth 5.15.8-1
qt5-purchasing 5.15.8-1
qt5-quickcontrols 5.15.8-1
qt5-quickcontrols2 5.15.8+kde+r7-1
qt5-sensors 5.15.8-1
qt5-speech 5.15.8+kde+r1-1
qt5-svg 5.15.8+kde+r8-1
qt5-tools 5.15.8+kde+r1-3
qt5-translations 5.15.8-1
qt5-wayland 5.15.8+kde+r58-1
qt5-webchannel 5.15.8+kde+r3-1
qt5-webengine 5.15.12-2
qt5-x11extras 5.15.8-1
qt5-xmlpatterns 5.15.8-1
qt6-5compat 6.4.2-1
qt6-base 6.4.2-1
qt6-declarative 6.4.2-1
qt6-imageformats 6.4.2-1
qt6-svg 6.4.2-1
qt6-translations 6.4.2-1
qt6-wayland 6.4.2-1
raptor 2.0.15-21
rasqal 1:0.9.33-5
rate-mirrors-bin 0.14.0-1
rav1e 0.6.3-1
re2 1:20230201-1
readline 8.2.001-2
redland 1:1.0.17-8
rhash 1.4.3-1
rnnoise 0.4.1-1
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.1.2-1
sbc 2.0-1
sddm 0.19.0-9
sddm-kcm 5.26.5-1
sdl12-compat 1.2.60-1
sdl2 2.26.3-1
sed 4.9-1
semver 7.3.8-1
serd 0.30.16-1
shaderc 2022.4-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
signon-kwallet-extension 22.12.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.3-2
smartmontools 7.3-1
smbclient 4.17.5-1
snappy 1.1.9-2
solid 5.102.0-1
sonnet 5.102.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-4
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.40.1-1
sratom 0.6.14-1
srt 1.5.1-3
sshfs 3.7.3-1
starship 1.12.0-3
startup-notification 0.12-7
sudo 1.9.12.p2-1
svt-av1 1.4.1-1
svt-hevc 1.5.1-2
syndication 5.102.0-1
syntax-highlighting 5.102.0-1
sysfsutils 2.1.1-1
systemd 252.5-1
systemd-libs 252.5-1
systemd-sysvcompat 252.5-1
systemsettings 5.26.5-1
taglib 1.13-1
talloc 2.4.0-2
tar 1.34-1
tcl 8.6.13-1
tdb 1.4.8-1
telegram-desktop 4.6.1-1
tevent 1:0.14.0-1
texinfo 7.0.2-2
thin-provisioning-tools 1.0.0-1
threadweaver 5.102.0-1
thunderbird 102.7.2-1
tinycompress 1.2.8-1
tpm2-tss 3.2.0-3
tracker3 3.4.2-2
transmission-qt 3.00-6
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-hack 3.003-3
ttf-jetbrains-mono 2.304-1
ttf-jetbrains-mono-nerd 2.3.3-2
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-nunito 3.601-2
ttf-opensans 1.101-2
twolame 0.4.0-2
tzdata 2022g-2
uchardet 0.0.8-1
udisks2 2.9.4-1
unarchiver 1.10.7-7
ungoogled-chromium-bin 109.0.5414.119-1
unibilium 2.1.1-1
unrar 1:6.2.5-1
unzip 6.0-19
upd72020x-fw 20200826-3
upower 1.90.0-3
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-2
usbutils 015-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vdpauinfo 1.5-1
ventoy-bin 1.0.88-1
vid.stab 1.1-3
virtualbox 7.0.6-1
virtualbox-guest-iso 7.0.6-1
virtualbox-host-modules-arch 7.0.6-6
vmaf 2.3.1-1
volume_key 0.3.12-7
vscodium-bin 1.75.1.23040-1
vulkan-headers 1:1.3.240-1
vulkan-icd-loader 1.3.240-1
vulkan-radeon 22.3.4-1
wavpack 5.6.0-1
wayland 1.21.0-2
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wildmidi 0.4.5-1
wireless-regdb 2022.08.12-1
wireplumber 0.4.13-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-3
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 22.0.0-1
xf86-video-vesa 2.6.0-1
xfsprogs 6.1.1-2
xkeyboard-config 2.37-1
